ID,Szekció Név,Kezdési Idõpont,Levezetõ Elnök ID
1,Szekció 1,2023-11-01 10:00:00,1
2,Szekció 2,2023-11-01 14:00:00,2
3,Szekció 3,2023-11-02 09:00:00,3
4,Szekció 4,2023-11-02 13:00:00,4
5,Szekció 5,2023-11-03 11:00:00,5
6,Szekció 6,2023-11-03 15:00:00,6
7,Szekció 7,2023-11-04 10:00:00,7
8,Szekció 8,2023-11-04 14:00:00,8
9,Szekció 9,2023-11-05 09:00:00,9
10,Szekció 10,2023-11-05 13:00:00,10
11,Szekció 11,2023-11-06 11:00:00,11
12,Szekció 12,2023-11-06 15:00:00,12
13,Szekció 13,2023-11-07 10:00:00,13
14,Szekció 14,2023-11-07 14:00:00,14
15,Szekció 15,2023-11-08 09:00:00,15
16,Szekció 16,2023-11-08 13:00:00,16
17,Szekció 17,2023-11-09 11:00:00,17
18,Szekció 18,2023-11-09 15:00:00,18
19,Szekció 19,2023-11-10 10:00:00,19
20,Szekció 20,2023-11-10 14:00:00,20
21,Szekció 21,2023-11-11 09:00:00,21
22,Szekció 22,2023-11-11 13:00:00,22
23,Szekció 23,2023-11-12 11:00:00,23
24,Szekció 24,2023-11-12 15:00:00,24
25,Szekció 25,2023-11-13 10:00:00,25
26,Szekció 26,2023-11-13 14:00:00,26
27,Szekció 27,2023-11-14 09:00:00,27
28,Szekció 28,2023-11-14 13:00:00,28
29,Szekció 29,2023-11-15 11:00:00,29
30,Szekció 30,2023-11-15 15:00:00,30
31,Szekció 31,2023-11-16 10:00:00,31
32,Szekció 32,2023-11-16 14:00:00,32
33,Szekció 33,2023-11-17 09:00:00,33
34,Szekció 34,2023-11-17 13:00:00,34
35,Szekció 35,2023-11-18 11:00:00,35
36,Szekció 36,2023-11-18 15:00:00,36
37,Szekció 37,2023-11-19 10:00:00,37
38,Szekció 38,2023-11-19 14:00:00,38
39,Szekció 39,2023-11-20 09:00:00,39
40,Szekció 40,2023-11-20 13:00:00,40
41,Szekció 41,2023-11-21 11:00:00,41
42,Szekció 42,2023-11-21 15:00:00,42
43,Szekció 43,2023-11-22 10:00:00,43
44,Szekció 44,2023-11-22 14:00:00,44
45,Szekció 45,2023-11-23 09:00:00,45
46,Szekció 46,2023-11-23 13:00:00,46
47,Szekció 47,2023-11-24 11:00:00,47
48,Szekció 48,2023-11-24 15:00:00,48
49,Szekció 49,2023-11-25 10:00:00,49
50,Szekció 50,2023-11-25 14:00:00,50
